fund_code,fund_name,fund_category,total_spending,transaction_count,vendor_count,date_min,date_max,ai_replaceable_spending,ai_replaceable_pct
199,General Fund,general_operating,3094081281.2400002,85164,7452,2021-09-01,2025-08-31,48872608.53,1.5795515401073612
651,Bond Construction (2015 Election),bond_construction,1322030034.08,6858,339,2021-09-01,2025-08-29,5078444.59,0.3841398802663426
637,Bond Construction (2020 Election),bond_construction,545076033.73,3162,209,2021-09-01,2025-08-29,566203.14,0.10387599251528735
240,National School Lunch/Breakfast Program,food_service,195560905.32,7497,395,2021-09-01,2025-08-31,1678.63,0.0008583668587815271
282,ESSER II/III (ARP),federal_state_grants,181795450.36,4291,943,2021-09-17,2024-11-01,53433310.79,29.391995610555057
652,Bond Construction (652),bond_construction,144565351.8,839,65,2021-09-01,2025-08-29,2206576.11,1.5263519802813497
640,Bond Construction (640),bond_construction,102483361.63,210,56,2021-09-01,2025-08-21,0.0,0.0
653,Bond Construction (653),bond_construction,66923988.83,450,34,2022-02-14,2025-08-29,0.0,0.0
650,Bond Construction (650),bond_construction,50231839.489999995,122,19,2021-10-01,2025-08-13,0.0,0.0
410,Debt Service (410),debt_service,34276362.839999996,26,10,2021-10-13,2025-08-15,27252301.89,79.50756624094602
211,"ESEA Title I, Part A",federal_state_grants,33109952.07,3223,590,2021-09-02,2025-08-29,5292933.159999999,15.985928185005674
281,ESSER I (CARES Act),federal_state_grants,23049120.08,224,88,2021-09-16,2024-02-16,161674.91999999998,0.7014364081528963
638,Bond Construction (638),bond_construction,18290780.31,219,25,2021-09-01,2025-08-29,0.0,0.0
753,Workers Compensation,trust_agency,15850607.719999999,5826,593,2021-09-01,2025-08-29,6660.25,0.042018893645296776
42L,Capital/ESSER Variant (42L),capital_projects,15649464.77,19,4,2024-06-20,2025-07-30,0.0,0.0
180,State/Local Special Revenue,general_operating,10932480.21,478,62,2021-09-10,2025-08-13,1232.12,0.011270269658233387
655,Bond Construction (655),bond_construction,10136934.73,33,9,2022-10-03,2025-07-10,0.0,0.0
263,"Title III, Part A",federal_state_grants,8684537.74,741,109,2021-09-17,2025-08-21,2094097.75,24.112944323505236
224,IDEA-B Formula,federal_state_grants,8320588.610000001,113,31,2021-10-13,2025-07-17,928508.41,11.159167380106776
28R,ESSER/COVID Relief (28R),federal_state_grants,6619919.0,1,1,2024-11-19,2024-11-19,0.0,0.0
635,Bond Construction (635),bond_construction,6389482.279999999,24,8,2021-10-05,2023-07-20,0.0,0.0
