fund_code,ai_category,vendor,total_spending,transaction_count
199,payroll_benefits,TEACHER RETIREMENT SYSTEM OF TEXAS,1165716921.85,104
199,payroll_benefits,INTERNAL REVENUE SERVICE,586455574.52,399
651,other,RATCLIFF CONSTRUCTORS LP,188558439.87,107
651,construction_facilities,BECK 3I JOINT VENTURE,125518982.81,42
637,construction_facilities,"REEDER GENERAL CONTRACTORS, INC.",103311090.36,100
199,construction_facilities,RELIANT ENERGY RETAIL SERVICES LLC,100926993.65,184
651,construction_facilities,"SFP2, A JOINT VENTURE, LLC",94410260.12,38
651,other,"SEDALCO, INC.",84884534.0,57
640,construction_facilities,HC BECK Ltd.,82274067.6,22
651,construction_facilities,"NORTHRIDGE CONSTRUCTION GROUP, LLC",62992755.04,88
651,other,TURNER SOURCE,59657991.62,29
651,other,CADENCE MCSHANE-MORALES,58144517.51,22
637,other,GILBERT MAY INC. DBA PHILLIPS/MAY,56866972.99,77
651,other,GILBERT MAY INC. DBA PHILLIPS/MAY,54593361.69,105
199,payroll_benefits,USI INSURANCE SERVICES LLC,54480718.41,61
651,construction_facilities,CONSTRUCTION ZONE OF TEXAS LLC,49939735.76,66
651,construction_facilities,"REEDER GENERAL CONTRACTORS, INC.",41427568.32,34
637,other,BIG SKY - WESSON JV,39086369.3,70
637,other,CADENCE MCSHANE-MORALES,38173176.45,27
651,construction_facilities,HC BECK Ltd.,37013869.49,17
240,food_transportation,OAK FARMS DAIRY,35689202.48,176
199,other,CITY OF DALLAS,35192836.91,1560
199,payroll_benefits,UNITED HEALTHCARE INSURANCE,33561443.47,62
651,other,"THE CROWTHER GROUP, LLC",32857498.84,68
651,other,"TM SOURCE BUILDING GROUP, INC.",31972484.68,48
650,food_transportation,LONGHORN BUS SALES,31327456.0,9
199,other,TEXAS AIR SYSTEMS LLC,31282479.54,275
651,construction_facilities,"JOESTA CONSTRUCTION, LLC.",30269456.89,52
652,it_hardware,LENOVO (UNITED STATES) INC,29053917.12,21
637,other,RATCLIFF CONSTRUCTORS LP,29010530.72,44
637,construction_facilities,SEDALCO-SMR A JOINT VENTURE,27353070.21,19
637,other,"SEDALCO, INC.",25531217.6,22
652,it_hardware,APPLE COMPUTER INC,25093673.15,33
199,it_hardware,LENOVO (UNITED STATES) INC,23904609.48,133
199,other,DALLAS CENTRAL APPRAISAL DISTRICT,23694837.0,16
199,other,JEM RESOURCE PARTNERS,21481739.15,12
240,other,TSD DISTRIBUTING INC,21462797.92,215
637,other,"POST L GROUP, LLC",21222265.05,57
199,payroll_benefits,DEARBORN LIFE INSURANCE COMPANY,19857654.35,63
651,other,J.B. & CO. LLC,19649018.58,67
637,other,AECOM TECHNICAL SERVICES,19398048.6,80
653,it_hardware,CONVERGINT TECHNOLOGIES LLC,19193944.25,145
282,curriculum_digital,AMPLIFY EDUCATION INC,18671019.72,7
410,curriculum_digital,AMPLIFY EDUCATION INC,18429826.09,4
651,other,TEXAS AIR SYSTEMS LLC,17195166.12,32
651,other,DIKITA ENTERPRISES INC,16791488.23,120
653,it_hardware,DIGI SECURITY SYSTEMS LLC,15924132.05,95
199,other,WASTE MANAGEMENT OF TEXAS,15764267.3,39
199,it_hardware,APPLE COMPUTER INC,15151147.13,380
240,food_transportation,TYSON FOODS INC,15003790.68,150
199,other,"SCHOOL SPECIALTY, LLC.",14788105.08,427
199,it_hardware,DELL MARKETING CORPORATION,14491712.1,150
651,other,"FIELDTURF USA, INC.",14480197.5,14
282,other,ACADEMIC SUCCESS PROGRAM,13987700.0,19
199,other,"Bluum USA, INC",13831261.22,195
652,it_hardware,CDW GOVERNMENT INC,13810218.78,84
637,construction_facilities,"JOESTA CONSTRUCTION, LLC.",13155812.549999999,18
199,it_hardware,ORACLE AMERICA INC,13100040.96,117
199,it_hardware,LAKESHORE LEARNING MATERIALS,12717795.13,335
199,other,HONORE OFFICE PRODUCTS INC,12492120.59,621
199,other,DOUGLASS DISTRIBUTING LLC,12486630.28,116
199,other,LIFEWORKS US LTD,12311142.6,87
199,construction_facilities,ATMOS ENERGY,12184254.459999999,50
282,curriculum_digital,CARNEGIE LEARNING INC,11855114.05,30
651,other,TEXAS MULTI-CHEM,11626226.89,67
637,other,JACOBS PROJECT MANAGEMENT CO.,11249154.92,94
637,construction_facilities,CONSTRUCTION ZONE OF TEXAS LLC,10909513.63,28
199,it_hardware,UNITE PRIVATE NETWORKS,10809749.94,49
282,curriculum_digital,GREAT MINDS PBC,10809261.870000001,11
199,other,ASHER MEDIA INC,10681088.35,104
652,it_hardware,ORACLE AMERICA INC,10618266.9,42
199,other,POWERSCHOOL GROUP LLC,10510871.7,83
650,other,"POST L GROUP, LLC",10440398.36,20
199,it_hardware,CDW GOVERNMENT INC,10143232.74,136
199,other,SMART GROUP SYSTEMS,10021187.5,440
199,it_hardware,CONVERGINT TECHNOLOGIES LLC,9966765.85,216
651,other,BIG SKY - WESSON JV,9575181.22,17
199,other,VESTIGE INTERNATIONAL,9271600.25,272
637,construction_facilities,HC BECK Ltd.,9172559.24,3
652,other,UNITED DATA TECHNOLOGIES,9154057.5,1
651,construction_facilities,ICI CONSTRUCTION INCORPORATED,9135288.93,42
199,other,ALLIANCE OF DALLAS EDUCATORS,8934894.87,48
651,construction_facilities,GADBERRY CONSTRUCTION COMPANY INC,8775775.25,25
199,payroll_benefits,HEALTH SPECIAL RISK INC,8733964.16,20
199,other,BLACKMON MOORING OF TEXAS,8652721.6,36
199,other,THOMPSON & HORTON LLP,8506088.16,139
42L,construction_facilities,"JOESTA CONSTRUCTION, LLC.",8460305.3,8
199,other,"PREFERRED MECHANICAL GROUP, LLC",8402276.459999999,95
199,other,OFFEN PETROLEUM LLC,8356217.86,89
651,other,"THE GORDIAN GROUP, INC",8330252.2299999995,54
651,construction_facilities,RJ S FENCING & CONSTRUCTION,8300628.76,45
