vendor,total_spending,transaction_count,category,confidence,categorization_method,cumulative_spending,cumulative_pct,research_priority
AMPLIFY EDUCATION INC,38231588.81,18,edtech_instructional,high,heuristic,38231588.81,0.16503436146788789,high
LAKESHORE LEARNING MATERIALS,20310639.71,492,edtech_instructional,high,heuristic,58542228.52,0.2527093328692184,high
GREAT MINDS PBC,17216310.3,27,edtech_instructional,high,heuristic,75758538.82000001,0.32702700748415214,high
CARNEGIE LEARNING INC,16341463.68,74,edtech_instructional,high,heuristic,92100002.5,0.39756823027461247,high
EDUCATION IS FREEDOM,12709367.52,36,edtech_instructional,high,heuristic,104809370.02,0.452430777676129,high
EDUCATION SERVICE CENTER REGION 10,10999471.23,274,edtech_instructional,high,heuristic,115808841.25,0.4999122129873562,high
CURRICULUM ASSOCIATES LLC,9406044.8,118,edtech_instructional,high,heuristic,125214886.05,0.5405153018419925,high
SCHOLASTIC INC,7718694.58,183,edtech_instructional,high,heuristic,132933580.63,0.5738346032633018,high
FOLLETT HIGHER EDUCATION GROUP INC,6957354.82,132,edtech_instructional,high,heuristic,139890935.45,0.603867428106927,high
ENGAGE LEARNING INC dba,6439209.0,57,edtech_instructional,high,heuristic,146330144.45,0.6316635720483819,high
ABOVE AND BEYOND LEARNING INC,6434121.0,53,edtech_instructional,high,heuristic,152764265.45,0.6594377526119787,high
METEOR EDUCATION LLC,6096384.16,55,edtech_instructional,high,heuristic,158860649.60999998,0.6857540240101839,high
PROTECT EDUCATION,5302244.0,2,edtech_instructional,high,heuristic,164162893.60999998,0.7086422292907884,high
ALL IN LEARNING,4957314.0,60,edtech_instructional,high,heuristic,169120207.60999998,0.7300414746805544,high
EDUCATION LOGISTICS INC,3792374.45,16,edtech_instructional,high,heuristic,172912582.05999997,0.7464120236240808,high
"IMAGINE LEARNING, LLC",3303668.31,23,edtech_instructional,high,heuristic,176216250.36999997,0.7606729739798749,high
FRONTLINE EDUCATION,2671524.23,24,edtech_instructional,high,heuristic,178887774.59999996,0.7722051469595319,high
TUTOR ME EDUCATION,2608374.67,10,edtech_instructional,high,heuristic,181496149.26999995,0.783464722131042,high
LEARNING A-Z,2505737.4,16,edtech_instructional,high,heuristic,184001886.66999996,0.7942812428325579,high
"ILLUMINATE EDUCATION, INC.",2502724.81,4,edtech_instructional,high,heuristic,186504611.47999996,0.8050847590819311,high
SIRIUS EDUCATION SOLUTIONS,2461775.79,101,edtech_instructional,high,heuristic,188966387.26999995,0.8157115106302081,high
TORRES HENDERSON EDUCATION,2387073.63,52,edtech_instructional,high,heuristic,191353460.89999995,0.8260157952431677,high
"EDUCATION RESOURCE STRATEGIES,",2376000.0,29,edtech_instructional,high,heuristic,193729460.89999995,0.8362722782995333,high
CLASSWORK CO,2282328.0,6,edtech_instructional,high,heuristic,196011788.89999995,0.8461244072814645,high
EDUCATION OPENS DOORS INC,1795028.0,3,edtech_instructional,high,heuristic,197806816.89999995,0.8538730075624839,low
BIG ROCK EDUCATIONAL SERVICES,1476450.0,14,edtech_instructional,high,heuristic,199283266.89999995,0.8602464016738353,low
"DREAMBOX LEARNING, INC",1467185.9,8,edtech_instructional,high,heuristic,200750452.79999995,0.8665798054296806,low
BEYOND THERAPY EDUCATIONAL,1449966.55,31,edtech_instructional,high,heuristic,202200419.34999996,0.8728388783894332,low
TEXAS EDUCATION AGENCY,1441728.49,25,edtech_instructional,high,heuristic,203642147.83999997,0.8790623901022129,low
PANORAMA EDUCATION,1430400.0,7,edtech_instructional,high,heuristic,205072547.83999997,0.8852370001038229,low
SCHOLASTIC BOOK FAIRS CO,1352067.38,28,edtech_instructional,high,heuristic,206424615.21999997,0.8910734715575411,low
RENAISSANCE LEARNING INC,1041062.62,28,edtech_instructional,high,heuristic,207465677.83999997,0.8955674282589914,low
HOUGHTON MIFFLIN HARCOURT LEARNING,998584.2,34,edtech_instructional,high,heuristic,208464262.03999996,0.8998780182958829,low
TRIPLE A EDUCATIONAL SERVICES,994245.22,61,edtech_instructional,high,heuristic,209458507.25999996,0.9041698782507661,low
AUSTIN VOICES FOR EDUCATION AND,917500.0,28,edtech_instructional,high,heuristic,210376007.25999996,0.9081304519899139,low
BENCHMARK EDUCATION COMPANY,885690.14,11,edtech_instructional,high,heuristic,211261697.39999995,0.9119537120547708,low
IMAGINE LEARNING INC,840285.94,24,edtech_instructional,high,heuristic,212101983.33999994,0.9155809757357946,low
TPR EDUCATION LLC DBA THE,831475.0,23,edtech_instructional,high,heuristic,212933458.33999994,0.9191702052178196,low
EAI EDUCATION DBA ERIC ARMIN INC,823091.35,88,edtech_instructional,high,heuristic,213756549.68999994,0.9227232449842826,low
IXL LEARNING INC,719665.75,83,edtech_instructional,high,heuristic,214476215.43999994,0.9258298272953607,low
TEXTBOOK WAREHOUSE,717537.7,81,edtech_instructional,high,heuristic,215193753.13999993,0.9289272234495498,low
SEESAW LEARNING INC,704200.0,5,edtech_instructional,high,heuristic,215897953.13999993,0.9319670447325014,low
LEXIA LEARNING SYSTEMS INC,609294.15,28,edtech_instructional,high,heuristic,216507247.28999993,0.9345971857787209,low
PRESENCELEARNING,599996.27,11,edtech_instructional,high,heuristic,217107243.55999994,0.9371871906512536,low
DISCOVERY EDUCATION,598655.0,8,edtech_instructional,high,heuristic,217705898.55999994,0.9397714056614003,low
TRIO EDUCATION,548400.0,9,edtech_instructional,high,heuristic,218254298.55999994,0.9421386848314807,low
PEOPLES EDUCATION,489334.62,49,edtech_instructional,high,heuristic,218743633.17999995,0.944250996379849,low
ROBOTICS EDUCATION & COMPETITION,476590.28,128,edtech_instructional,high,heuristic,219220223.45999995,0.9463082944150546,low
APEX LEARNING INC,460506.32,4,edtech_instructional,high,heuristic,219680729.77999994,0.9482961627940231,low
CENGAGE LEARNING,445328.35,59,edtech_instructional,high,heuristic,220126058.12999994,0.950218512405258,low
ACCELERATE LEARNING INC,430928.65,124,edtech_instructional,high,heuristic,220556986.77999994,0.9520787028081316,low
LEGO EDUCATION,422509.14,42,edtech_instructional,high,heuristic,220979495.91999993,0.9539025486985228,low
"AGE OF LEARNING, INC.",420302.26,2,edtech_instructional,high,heuristic,221399798.17999992,0.9557168681464361,low
ASSESSMENT TECHNOLOGIES INSTITUTE,414428.0,19,edtech_instructional,high,heuristic,221814226.17999992,0.9575058301666732,low
PITSCO EDUCATION,399601.67,110,edtech_instructional,high,heuristic,222213827.8499999,0.9592307913441355,low
PROGRESS LEARNING,398554.0,36,edtech_instructional,high,heuristic,222612381.8499999,0.9609512300428084,low
EDUCATION GALAXY LLC,390761.64,41,edtech_instructional,high,heuristic,223003143.4899999,0.9626380314484217,low
PEARSON ASSESSMENTS,374474.84,13,edtech_instructional,high,heuristic,223377618.3299999,0.964254527598041,low
NASCO EDUCATION LLC,373439.12,206,edtech_instructional,high,heuristic,223751057.4499999,0.9658665528534551,low
ICS LEARNING GROUP INC,325123.04,78,edtech_instructional,high,heuristic,224076180.4899999,0.967270012007914,low
KIDS PLACE LEARNING CENTER,302330.0,24,edtech_instructional,high,heuristic,224378510.4899999,0.9685750804096105,low
HURST EDUCATIONAL SERVICES,290860.0,22,edtech_instructional,high,heuristic,224669370.4899999,0.9698306362436906,low
SAVVAS LEARNING COMPANY LLC,280575.77,39,edtech_instructional,high,heuristic,224949946.2599999,0.971041798125438,low
ALPHA EDUCATION GROUP,279748.25,35,edtech_instructional,high,heuristic,225229694.5099999,0.9722493878502583,low
"ASTERIA LEARNING, INC. DBA ECS",253433.62,44,edtech_instructional,high,heuristic,225483128.1299999,0.9733433851690476,low
BETTY LIN EARLY CHILDHOOD LEARNING,253000.0,16,edtech_instructional,high,heuristic,225736128.1299999,0.9744355106796792,low
AISHAS LEARNING CENTERS,253000.0,37,edtech_instructional,high,heuristic,225989128.1299999,0.9755276361903107,low
EDUCATIONAL PRODUCTS INC,246648.89,83,edtech_instructional,high,heuristic,226235777.0199999,0.9765923458540969,low
NEIGHBORHOOD CHRISTIAN LEARNING,230000.0,22,edtech_instructional,high,heuristic,226465777.0199999,0.9775851872273984,low
DNG SCIENCE EDUCATION LP,205886.0,10,edtech_instructional,high,heuristic,226671663.0199999,0.9784739356577615,low
PEARSON EDUCATION,205123.14,5,edtech_instructional,high,heuristic,226876786.15999988,0.9793593910491245,low
"ONE WAY EDUCATION, LLC",199507.0,5,edtech_instructional,high,heuristic,227076293.15999988,0.9802206032398342,low
KAMICO INSTRUCTIONAL MEDIA INC,192892.65,36,edtech_instructional,high,heuristic,227269185.80999988,0.9810532632551635,low
PROXIMITY LEARNING INC.,178180.68,17,edtech_instructional,high,heuristic,227447366.4899999,0.9818224160857156,low
WARREN INSTRUCTIONAL NETWORK,170351.0,20,edtech_instructional,high,heuristic,227617717.4899999,0.9825577705239037,low
KAPLAN EARLY LEARNING COMPANY,169264.46,75,edtech_instructional,high,heuristic,227786981.9499999,0.9832884346931103,low
N'GOYALA COMMUNITY LEARNING CENTER,168600.0,30,edtech_instructional,high,heuristic,227955581.9499999,0.9840162305867566,low
NATIONAL SCHOLASTIC PRESS ASSOC,163365.43,8,edtech_instructional,high,heuristic,228118947.3799999,0.9847214304035877,low
TEXAS ART EDUCATION ASSOCIATION,152774.0,41,edtech_instructional,high,heuristic,228271721.3799999,0.9853809101773475,low
"TPR GLOBAL EDUCATION, LLC",152174.91,8,edtech_instructional,high,heuristic,228423896.2899999,0.9860378038583318,low
"PANORAMA EDUCATION, INC",146800.0,1,edtech_instructional,high,heuristic,228570696.2899999,0.9866714956565955,low
LEARNING ENVIRONMENTS LLC,112194.38,2,edtech_instructional,high,heuristic,228682890.6699999,0.9871558053188386,low
DELANEY EDUCATIONAL ENT.,108813.58,10,edtech_instructional,high,heuristic,228791704.2499999,0.9876255210762345,low
PERFECTION LEARNING CORPORATION,105143.05,49,edtech_instructional,high,heuristic,228896847.29999992,0.9880793922508219,low
"EDUCATION ELEMENTS, INC.",102780.0,9,edtech_instructional,high,heuristic,228999627.29999992,0.9885230628436389,low
LEARNING LEGACY INC,99000.0,20,edtech_instructional,high,heuristic,229098627.29999992,0.9889504163043208,low
PACE & ROSS LEARNING CENTER,92000.0,21,edtech_instructional,high,heuristic,229190627.29999992,0.9893475528536414,low
"GOOD STREET LEARNING CENTER, INC.",92000.0,19,edtech_instructional,high,heuristic,229282627.29999992,0.9897446894029619,low
TEXAS MUSIC EDUCATION ASSOCIATION,86704.0,44,edtech_instructional,high,heuristic,229369331.29999992,0.9901189647004868,low
LYL EDUCATIONAL SYSTEMS,80000.0,1,edtech_instructional,high,heuristic,229449331.29999992,0.9904643008303308,low
DALLAS EDUCATION FOUNDATION,77892.06,17,edtech_instructional,high,heuristic,229527223.35999992,0.9908005376121555,low
VISTA HIGHER LEARNING,76037.91,10,edtech_instructional,high,heuristic,229603261.26999992,0.9911287705816657,low
ALISON'S MONTESSORI & EDUCATIONAL,72116.99,22,edtech_instructional,high,heuristic,229675378.25999993,0.9914400781094482,low
STEMULI EDUCATION,70010.0,1,edtech_instructional,high,heuristic,229745388.25999993,0.9917422903900779,low
SOUTHERN CREST LEARNING CENTER,69000.0,9,edtech_instructional,high,heuristic,229814388.25999993,0.9920401428020683,low
"EDUCATIONAL LEADERSHIP ASSOCIATES,",65300.0,20,edtech_instructional,high,heuristic,229879688.25999993,0.9923220234180534,low
LEARNING FORWARD - TEXAS,63365.0,9,edtech_instructional,high,heuristic,229943053.25999993,0.992595551216398,low
"EXPLORELEARNING, LLC",62443.0,16,edtech_instructional,high,heuristic,230005496.25999993,0.9928650990158461,low
EDUCATION MANAGEMENT INFORMATION,61937.5,8,edtech_instructional,high,heuristic,230067433.75999993,0.9931324647226237,low
UNBOUNDED LEARNING INC,58800.0,5,edtech_instructional,high,heuristic,230126233.75999993,0.993386286778059,low
C-SEP ASSESSMENT AND TRAINING,57907.35,7,edtech_instructional,high,heuristic,230184141.10999992,0.9936362555297905,low
"LONGVIEW EDUCATION PARTNERS, LLC",57200.0,10,edtech_instructional,high,heuristic,230241341.10999992,0.9938831708626289,low
CAMBIAR EDUCATION,54000.0,5,edtech_instructional,high,heuristic,230295341.10999992,0.9941162727502736,low
EMERGENCY MEDICAL EDUCATION AND,53566.0,4,edtech_instructional,high,heuristic,230348907.10999992,0.9943475011894138,low
DR. JOSE MEDINA EDUCATIONAL,49762.5,13,edtech_instructional,high,heuristic,230398669.60999992,0.9945623110539308,low
"LEGENDS OF LEARNING, INC",45880.0,5,edtech_instructional,high,heuristic,230444549.60999992,0.9947603613243964,low
"MCCLELLAN EDUCATIONAL CONSULTING,",45430.0,7,edtech_instructional,high,heuristic,230489979.60999992,0.9949564690791315,low
"AMPLIO LEARNING TECHNOLOGIES, INC",44370.0,3,edtech_instructional,high,heuristic,230534349.60999992,0.9951480011301462,low
"NEW HORIZONS LEARNING, LLC",43976.87,20,edtech_instructional,high,heuristic,230578326.47999993,0.9953378361562518,low
NATIONAL CENTER FOR EDUCATION AND,43690.87,8,edtech_instructional,high,heuristic,230622017.34999993,0.9955264366056933,low
OKAPI EDUCATIONAL MATERIALS,41376.45,2,edtech_instructional,high,heuristic,230663393.79999992,0.9957050463945643,low
FIRST CHOICE EDUCATIONAL,40562.7,2,edtech_instructional,high,heuristic,230703956.4999999,0.9958801434674895,low
EDUCATION SERVICE CENTER-REGION 13,38640.0,6,edtech_instructional,high,heuristic,230742596.4999999,0.9960469408182041,low
TAJU EDUCATIONAL SOLUTIONS LLC,38385.0,10,edtech_instructional,high,heuristic,230780981.4999999,0.9962126374100049,low
EDUCATION IN ACTION,36889.0,5,edtech_instructional,high,heuristic,230817870.4999999,0.9963718762161775,low
STAR LEARNING CENTERS LLC,35700.0,10,edtech_instructional,high,heuristic,230853570.4999999,0.9965259824641204,low
SEIDLITZ EDUCATION LLC,35415.87,16,edtech_instructional,high,heuristic,230888986.36999992,0.9966788622076311,low
SCHOLASTIC TESTING SERVICES INC,31634.25,3,edtech_instructional,high,heuristic,230920620.61999992,0.9968154178259501,low
INSTITUTE FOR EDUCATIONAL,30335.0,8,edtech_instructional,high,heuristic,230950955.61999992,0.9969463649696854,low
AVANT ASSESSMENT,28290.7,23,edtech_instructional,high,heuristic,230979246.3199999,0.9970684874802924,low
